task_id,workflow_id,node_id,node_class,seed,tier,memory_strategy,condition,workflow_depth,workflow_category,base_input_tokens,memory_tokens_injected,output_tokens,cost_inference,cost_injection,cost_miss_penalty,cost_accum,cost_total,warm_hit,fallback_used,retrieval_latency_ms,answer_correct,required_topics_recall,cache_read_tokens,cache_creation_tokens,end_to_end_ms,model_id
T001,T001-H-99-8e04c5,extract,extract,99,haiku,warm-shared,H,1,Billing,67,0,97,0.000552,0.0,0.0,0.0,0.000552,False,True,0.06949994713068008,True,1.0,0,0,1492.6832499331795,claude-haiku-4-5-20251001
T001,T001-H-99-8e04c5,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,232,106,150,0.000982,0.000106,0.0,0.0,0.001088,False,False,1.5707499696873128,True,1.0,0,0,1278.1718749320135,claude-haiku-4-5-20251001
T002,T002-H-99-653f3a,extract,extract,99,haiku,warm-shared,H,1,Billing,67,0,129,0.0007120000000000001,0.0,0.0,0.0,0.0007120000000000001,False,True,0.07462501525878906,True,1.0,0,0,1642.7088750642724,claude-haiku-4-5-20251001
T002,T002-H-99-653f3a,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,225,138,83,0.00064,0.000138,0.0,0.0,0.000778,False,False,0.6366249872371554,False,1.0,0,0,783.9329169946723,claude-haiku-4-5-20251001
T003,T003-H-99-3e1996,extract,extract,99,haiku,warm-shared,H,1,Billing,67,0,123,0.0006820000000000001,0.0,0.0,0.0,0.0006820000000000001,False,True,0.054292031563818455,True,0.6666666666666666,0,0,2195.8783750305884,claude-haiku-4-5-20251001
T003,T003-H-99-3e1996,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,221,132,73,0.000586,0.00013199999999999998,0.0,0.0,0.000718,False,False,0.5995000246912241,True,1.0,0,0,1541.647458972875,claude-haiku-4-5-20251001
T004,T004-H-99-760650,extract,extract,99,haiku,warm-shared,H,1,Billing,68,0,109,0.000613,0.0,0.0,0.0,0.000613,False,True,0.09954202687367797,True,1.0,0,0,1617.7375839906745,claude-haiku-4-5-20251001
T004,T004-H-99-760650,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,218,118,71,0.0005729999999999999,0.000118,0.0,0.0,0.000691,False,False,0.7730420329608023,True,0.6666666666666666,0,0,746.8270840472542,claude-haiku-4-5-20251001
T005,T005-H-99-691429,extract,extract,99,haiku,warm-shared,H,1,Billing,69,0,114,0.000639,0.0,0.0,0.0,0.000639,False,True,0.08324999362230301,True,1.0,0,0,1811.322082998231,claude-haiku-4-5-20251001
T005,T005-H-99-691429,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,235,123,133,0.0009,0.00012299999999999998,0.0,0.0,0.001023,False,False,0.7384999771602452,True,0.6666666666666666,0,0,1934.9754999857396,claude-haiku-4-5-20251001
T006,T006-H-99-1fb373,extract,extract,99,haiku,warm-shared,H,1,Billing,67,0,88,0.0005070000000000001,0.0,0.0,0.0,0.0005070000000000001,False,True,0.06116594886407256,True,1.0,0,0,1580.5330818984658,claude-haiku-4-5-20251001
T006,T006-H-99-1fb373,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,224,97,73,0.000589,9.7e-05,0.0,0.0,0.000686,False,False,0.4012080025859177,False,1.0,0,0,893.3003330021165,claude-haiku-4-5-20251001
T007,T007-H-99-d185c0,extract,extract,99,haiku,warm-shared,H,1,Billing,70,0,97,0.000555,0.0,0.0,0.0,0.000555,False,True,0.08762499783188105,True,1.0,0,0,1413.5985420434736,claude-haiku-4-5-20251001
T007,T007-H-99-d185c0,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,226,106,73,0.000591,0.000106,0.0,0.0,0.000697,False,False,0.3500000457279384,True,0.6666666666666666,0,0,731.6139590693638,claude-haiku-4-5-20251001
T008,T008-H-99-ab6bd3,extract,extract,99,haiku,warm-shared,H,1,Billing,64,0,153,0.0008290000000000001,0.0,0.0,0.0,0.0008290000000000001,False,True,0.11912500485777855,True,0.6666666666666666,0,0,2004.2657500016503,claude-haiku-4-5-20251001
T008,T008-H-99-ab6bd3,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,212,148,96,0.0006920000000000001,0.000148,0.0,0.0,0.0008400000000000001,False,False,0.6474170368164778,False,0.6666666666666666,0,0,964.0383330406621,claude-haiku-4-5-20251001
T009,T009-H-99-2f4665,extract,extract,99,haiku,warm-shared,H,1,Billing,74,0,117,0.000659,0.0,0.0,0.0,0.000659,False,True,0.08441699901595712,True,1.0,0,0,1832.3140420252457,claude-haiku-4-5-20251001
T009,T009-H-99-2f4665,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,239,126,216,0.001319,0.000126,0.0,0.0,0.001445,False,False,0.6990840192884207,False,0.75,0,0,1540.3798340121284,claude-haiku-4-5-20251001
T009,T009-H-99-2f4665,billing-recon,billing-recon,99,sonnet,warm-shared,H,3,Billing,518,339,300,0.006054,0.0010170000000000001,0.0,0.0,0.007071000000000001,True,False,10.263249976560473,True,0.75,0,0,5141.047957993578,claude-sonnet-4-6
T010,T010-H-99-a71476,extract,extract,99,haiku,warm-shared,H,1,Billing,65,0,114,0.000635,0.0,0.0,0.0,0.000635,False,True,0.0950000248849392,True,0.75,0,0,1805.350917042233,claude-haiku-4-5-20251001
T010,T010-H-99-a71476,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,217,123,106,0.000747,0.00012299999999999998,0.0,0.0,0.00087,False,False,0.6874999962747097,True,1.0,0,0,902.0063339849003,claude-haiku-4-5-20251001
T010,T010-H-99-a71476,billing-recon,billing-recon,99,sonnet,warm-shared,H,3,Billing,484,235,300,0.005952000000000001,0.000705,0.0,0.0,0.006657000000000001,True,False,2.484292024746537,False,0.5,0,0,5167.773126042448,claude-sonnet-4-6
T011,T011-H-99-ac1f18,extract,extract,99,haiku,warm-shared,H,1,Billing,69,0,124,0.0006889999999999999,0.0,0.0,0.0,0.0006889999999999999,False,True,0.07712497608736157,True,0.75,0,0,1524.8922079917975,claude-haiku-4-5-20251001
T011,T011-H-99-ac1f18,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,221,133,149,0.0009660000000000001,0.000133,0.0,0.0,0.0010990000000000002,False,False,0.6814170046709478,True,0.75,0,0,1073.171750002075,claude-haiku-4-5-20251001
T011,T011-H-99-ac1f18,billing-recon,billing-recon,99,sonnet,warm-shared,H,3,Billing,499,288,300,0.005997000000000001,0.000864,0.0,0.0,0.006861000000000001,True,False,1.9628750160336494,True,0.75,0,0,5520.455167046748,claude-sonnet-4-6
T012,T012-H-99-508580,extract,extract,99,haiku,warm-shared,H,1,Billing,69,0,115,0.000644,0.0,0.0,0.0,0.000644,False,True,0.10666699381545186,False,0.5,0,0,2050.471958995331,claude-haiku-4-5-20251001
T012,T012-H-99-508580,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,231,124,133,0.000896,0.000124,0.0,0.0,0.00102,False,False,0.7507920381613076,True,0.75,0,0,1189.4790420192294,claude-haiku-4-5-20251001
T012,T012-H-99-508580,billing-recon,billing-recon,99,sonnet,warm-shared,H,3,Billing,504,263,300,0.006012000000000001,0.000789,0.0,0.0,0.006801000000000001,True,False,1.468124974053353,False,0.0,0,0,4104.192124970723,claude-sonnet-4-6
T013,T013-H-99-79496b,extract,extract,99,haiku,warm-shared,H,1,Billing,66,0,232,0.001226,0.0,0.0,0.0,0.001226,False,True,0.09666697587817907,True,1.0,0,0,2866.7366259614937,claude-haiku-4-5-20251001
T013,T013-H-99-79496b,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,221,146,66,0.0005510000000000001,0.000146,0.0,0.0,0.000697,False,False,0.2816669875755906,False,0.6666666666666666,0,0,872.63558403356,claude-haiku-4-5-20251001
T013,T013-H-99-79496b,billing-recon,billing-recon,99,sonnet,warm-shared,H,3,Billing,448,218,300,0.005844,0.0006540000000000001,0.0,0.0,0.006498,True,False,3.6284170346334577,False,0.3333333333333333,0,0,6460.303042025771,claude-sonnet-4-6
T014,T014-H-99-150561,extract,extract,99,haiku,warm-shared,H,1,Billing,65,0,218,0.001155,0.0,0.0,0.0,0.001155,False,True,0.08816696936264634,True,1.0,0,0,2769.2411669995636,claude-haiku-4-5-20251001
T014,T014-H-99-150561,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,223,151,131,0.0008780000000000001,0.00015099999999999998,0.0,0.0,0.001029,False,False,0.3237089840695262,True,1.0,0,0,1175.3985419636592,claude-haiku-4-5-20251001
T014,T014-H-99-150561,billing-recon,billing-recon,99,sonnet,warm-shared,H,3,Billing,498,288,300,0.005994000000000001,0.000864,0.0,0.0,0.006858000000000001,True,False,4.613291996065527,False,0.5,0,0,10321.33112498559,claude-sonnet-4-6
T015,T015-H-99-5d858d,extract,extract,99,haiku,warm-shared,H,1,Billing,68,0,132,0.0007280000000000001,0.0,0.0,0.0,0.0007280000000000001,False,True,0.0743329874239862,True,0.75,0,0,2010.7620409689844,claude-haiku-4-5-20251001
T015,T015-H-99-5d858d,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,224,139,142,0.000934,0.000139,0.0,0.0,0.001073,False,False,0.6082500331103802,True,0.75,0,0,1342.5150830298662,claude-haiku-4-5-20251001
T015,T015-H-99-5d858d,billing-recon,billing-recon,99,sonnet,warm-shared,H,3,Billing,496,287,300,0.005988,0.000861,0.0,0.0,0.006849,True,False,1.368958968669176,False,0.25,0,0,5810.914125991985,claude-sonnet-4-6
T016,T016-H-99-e56ebb,extract,extract,99,haiku,warm-shared,H,1,Billing,65,0,121,0.00067,0.0,0.0,0.0,0.00067,False,True,0.07500004721805453,True,0.6666666666666666,0,0,1734.6508330665529,claude-haiku-4-5-20251001
T016,T016-H-99-e56ebb,sql-gen,sql-gen,99,haiku,full-history,H,2,Billing,219,130,132,0.0008790000000000001,0.00013,0.0,0.0,0.0010090000000000001,False,False,0.868624949362129,True,0.6666666666666666,0,0,1194.0552499727346,claude-haiku-4-5-20251001
T016,T016-H-99-e56ebb,billing-recon,billing-recon,99,sonnet,warm-shared,H,3,Billing,493,268,300,0.005979000000000001,0.000804,0.0,0.0,0.006783000000000001,True,False,2.144249971024692,False,0.0,0,0,5145.898791961372,claude-sonnet-4-6
