task_id,workflow_id,node_id,node_class,seed,tier,memory_strategy,condition,workflow_depth,workflow_category,base_input_tokens,memory_tokens_injected,output_tokens,cost_inference,cost_injection,cost_miss_penalty,cost_accum,cost_total,warm_hit,fallback_used,retrieval_latency_ms,answer_correct,required_topics_recall,cache_read_tokens,cache_creation_tokens,end_to_end_ms,model_id
T001,T001-H-7-84146f,extract,extract,7,haiku,warm-shared,H,1,Billing,67,0,112,0.0006270000000000001,0.0,0.0,0.0,0.0006270000000000001,False,True,0.07816700963303447,True,1.0,0,0,1416.0149170202203,claude-haiku-4-5-20251001
T001,T001-H-7-84146f,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,233,121,89,0.000678,0.000121,0.0,0.0,0.000799,False,False,1.508000015746802,True,1.0,0,0,1039.835875038989,claude-haiku-4-5-20251001
T002,T002-H-7-48b454,extract,extract,7,haiku,warm-shared,H,1,Billing,67,0,126,0.000697,0.0,0.0,0.0,0.000697,False,True,0.05237502045929432,True,1.0,0,0,2400.3783329972066,claude-haiku-4-5-20251001
T002,T002-H-7-48b454,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,226,135,82,0.0006360000000000001,0.000135,0.0,0.0,0.0007710000000000001,False,False,0.7298340206034482,False,1.0,0,0,1065.435876022093,claude-haiku-4-5-20251001
T003,T003-H-7-7dad11,extract,extract,7,haiku,warm-shared,H,1,Billing,67,0,111,0.000622,0.0,0.0,0.0,0.000622,False,True,0.11249998351559043,True,1.0,0,0,1733.0662089516409,claude-haiku-4-5-20251001
T003,T003-H-7-7dad11,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,223,120,70,0.000573,0.00011999999999999999,0.0,0.0,0.000693,False,False,0.8076659869402647,True,1.0,0,0,901.9361659884453,claude-haiku-4-5-20251001
T004,T004-H-7-ba7128,extract,extract,7,haiku,warm-shared,H,1,Billing,68,0,116,0.000648,0.0,0.0,0.0,0.000648,False,True,0.06108300294727087,True,0.6666666666666666,0,0,1606.1142079997808,claude-haiku-4-5-20251001
T004,T004-H-7-ba7128,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,216,125,57,0.000501,0.000125,0.0,0.0,0.000626,False,False,0.3105420037172735,True,0.6666666666666666,0,0,666.6690420242958,claude-haiku-4-5-20251001
T005,T005-H-7-486def,extract,extract,7,haiku,warm-shared,H,1,Billing,69,0,113,0.000634,0.0,0.0,0.0,0.000634,False,True,0.047042034566402435,True,1.0,0,0,1486.817459051963,claude-haiku-4-5-20251001
T005,T005-H-7-486def,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,232,122,171,0.001087,0.000122,0.0,0.0,0.001209,False,False,0.3571250126697123,True,0.6666666666666666,0,0,1343.3589580236003,claude-haiku-4-5-20251001
T006,T006-H-7-0cb334,extract,extract,7,haiku,warm-shared,H,1,Billing,67,0,99,0.000562,0.0,0.0,0.0,0.000562,False,True,0.09970902465283871,True,1.0,0,0,1470.341542037204,claude-haiku-4-5-20251001
T006,T006-H-7-0cb334,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,226,108,79,0.000621,0.000108,0.0,0.0,0.000729,False,False,0.7306659827008843,False,1.0,0,0,1026.8809159751981,claude-haiku-4-5-20251001
T007,T007-H-7-601733,extract,extract,7,haiku,warm-shared,H,1,Billing,70,0,95,0.000545,0.0,0.0,0.0,0.000545,False,True,0.0439169816672802,True,1.0,0,0,1638.3174999500625,claude-haiku-4-5-20251001
T007,T007-H-7-601733,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,230,104,73,0.000595,0.000104,0.0,0.0,0.0006990000000000001,False,False,0.4920409992337227,True,0.6666666666666666,0,0,651.4201249810867,claude-haiku-4-5-20251001
T008,T008-H-7-e28674,extract,extract,7,haiku,warm-shared,H,1,Billing,64,0,150,0.000814,0.0,0.0,0.0,0.000814,False,True,0.05345902172848582,True,0.6666666666666666,0,0,2182.2577920393087,claude-haiku-4-5-20251001
T008,T008-H-7-e28674,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,211,143,96,0.000691,0.000143,0.0,0.0,0.000834,False,False,0.47429202822968364,False,0.6666666666666666,0,0,1059.7334170597605,claude-haiku-4-5-20251001
T009,T009-H-7-37c402,extract,extract,7,haiku,warm-shared,H,1,Billing,74,0,135,0.000749,0.0,0.0,0.0,0.000749,False,True,0.0842090230435133,True,0.75,0,0,1637.5950840301812,claude-haiku-4-5-20251001
T009,T009-H-7-37c402,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,238,144,174,0.001108,0.000144,0.0,0.0,0.001252,False,False,0.693832989782095,True,0.75,0,0,1333.3981659961864,claude-haiku-4-5-20251001
T009,T009-H-7-37c402,billing-recon,billing-recon,7,sonnet,warm-shared,H,3,Billing,515,324,300,0.006045,0.000972,0.0,0.0,0.007017,True,False,4.657834011595696,True,0.75,0,0,5657.63708401937,claude-sonnet-4-6
T010,T010-H-7-6b8586,extract,extract,7,haiku,warm-shared,H,1,Billing,65,0,111,0.00062,0.0,0.0,0.0,0.00062,False,True,0.08037500083446503,True,0.75,0,0,1506.6529579926282,claude-haiku-4-5-20251001
T010,T010-H-7-6b8586,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,222,120,78,0.000612,0.00011999999999999999,0.0,0.0,0.000732,False,False,0.4498329944908619,True,0.75,0,0,802.0841249963269,claude-haiku-4-5-20251001
T010,T010-H-7-6b8586,billing-recon,billing-recon,7,sonnet,warm-shared,H,3,Billing,468,204,300,0.005904,0.000612,0.0,0.0,0.006516,True,False,1.2474579853005707,False,0.5,0,0,7423.89400000684,claude-sonnet-4-6
T011,T011-H-7-1d9838,extract,extract,7,haiku,warm-shared,H,1,Billing,69,0,188,0.0010090000000000001,0.0,0.0,0.0,0.0010090000000000001,False,True,0.03904203185811639,True,0.75,0,0,2211.4091670373455,claude-haiku-4-5-20251001
T011,T011-H-7-1d9838,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,221,150,149,0.0009660000000000001,0.00015,0.0,0.0,0.001116,False,False,0.33520901342853904,True,0.75,0,0,1427.3734170128591,claude-haiku-4-5-20251001
T011,T011-H-7-1d9838,billing-recon,billing-recon,7,sonnet,warm-shared,H,3,Billing,509,305,300,0.006027000000000001,0.000915,0.0,0.0,0.006942000000000001,True,False,2.1584160276688635,True,0.75,0,0,5630.136791034602,claude-sonnet-4-6
T012,T012-H-7-ace88e,extract,extract,7,haiku,warm-shared,H,1,Billing,69,0,127,0.000704,0.0,0.0,0.0,0.000704,False,True,0.04333298420533538,True,0.75,0,0,1879.422623955179,claude-haiku-4-5-20251001
T012,T012-H-7-ace88e,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,222,136,115,0.0007970000000000001,0.000136,0.0,0.0,0.000933,False,False,0.43874996481463313,True,0.75,0,0,1079.423874965869,claude-haiku-4-5-20251001
T012,T012-H-7-ace88e,billing-recon,billing-recon,7,sonnet,warm-shared,H,3,Billing,505,257,300,0.006015,0.000771,0.0,0.0,0.006786,True,False,0.8160409634001553,False,0.25,0,0,5294.884040951729,claude-sonnet-4-6
T013,T013-H-7-e87afb,extract,extract,7,haiku,warm-shared,H,1,Billing,66,0,132,0.0007260000000000001,0.0,0.0,0.0,0.0007260000000000001,False,True,0.03787502646446228,True,1.0,0,0,1661.6447499836795,claude-haiku-4-5-20251001
T013,T013-H-7-e87afb,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,220,141,194,0.00119,0.00014099999999999998,0.0,0.0,0.0013310000000000002,False,False,0.32595795346423984,False,1.0,0,0,1474.7975829523057,claude-haiku-4-5-20251001
T013,T013-H-7-e87afb,billing-recon,billing-recon,7,sonnet,warm-shared,H,3,Billing,501,339,300,0.0060030000000000005,0.0010170000000000001,0.0,0.0,0.00702,True,False,0.9156659943982959,False,0.3333333333333333,0,0,5094.604498997796,claude-sonnet-4-6
T014,T014-H-7-4efb31,extract,extract,7,haiku,warm-shared,H,1,Billing,65,0,135,0.00074,0.0,0.0,0.0,0.00074,False,True,0.12687500566244125,True,1.0,0,0,1748.4445829759352,claude-haiku-4-5-20251001
T014,T014-H-7-4efb31,sql-gen,sql-gen,7,haiku,full-history,H,2,Billing,224,144,135,0.0008990000000000001,0.000144,0.0,0.0,0.001043,False,False,0.3231670125387609,True,1.0,0,0,1513.984958990477,claude-haiku-4-5-20251001
T014,T014-H-7-4efb31,billing-recon,billing-recon,7,sonnet,warm-shared,H,3,Billing,499,285,300,0.005997000000000001,0.0008550000000000001,0.0,0.0,0.0068520000000000005,True,False,1.0122919920831919,False,0.5,0,0,5107.34558297554,claude-sonnet-4-6
T015,T015-H-7-41db0b,extract,extract,7,haiku,warm-shared,H,1,Billing,68,0,101,0.000573,0.0,0.0,0.0,0.000573,False,True,0.042041996493935585,True,0.75,0,0,1961.7487919749692,claude-haiku-4-5-20251001
