task_id,workflow_id,node_id,node_class,seed,tier,memory_strategy,condition,workflow_depth,workflow_category,base_input_tokens,memory_tokens_injected,output_tokens,cost_inference,cost_injection,cost_miss_penalty,cost_accum,cost_total,warm_hit,fallback_used,retrieval_latency_ms,answer_correct,required_topics_recall,cache_read_tokens,cache_creation_tokens,end_to_end_ms,model_id
T001,T001-H-42-2a0f16,extract,extract,42,haiku,warm-shared,H,1,Billing,67,0,115,0.0006420000000000001,0.0,0.0,0.0,0.0006420000000000001,False,True,0.06500000017695129,True,1.0,0,0,1515.9226249961648,claude-haiku-4-5-20251001
T001,T001-H-42-2a0f16,sql-gen,sql-gen,42,haiku,full-history,H,2,Billing,231,124,89,0.000676,0.000124,0.0,0.0,0.0007999999999999999,False,False,1.774374999513384,True,1.0,0,0,796.0310829948867,claude-haiku-4-5-20251001
T002,T002-H-42-b777e1,extract,extract,42,haiku,warm-shared,H,1,Billing,67,0,102,0.000577,0.0,0.0,0.0,0.000577,False,True,0.09475000115344301,True,1.0,0,0,1595.3177080082241,claude-haiku-4-5-20251001
T002,T002-H-42-b777e1,sql-gen,sql-gen,42,haiku,full-history,H,2,Billing,222,111,83,0.0006370000000000001,0.000111,0.0,0.0,0.0007480000000000001,False,False,1.6480409976793453,False,1.0,0,0,1125.6536659930134,claude-haiku-4-5-20251001
T003,T003-H-42-ec4823,extract,extract,42,haiku,warm-shared,H,1,Billing,67,0,104,0.0005870000000000001,0.0,0.0,0.0,0.0005870000000000001,False,True,0.16074999439297244,True,1.0,0,0,1447.3054999980377,claude-haiku-4-5-20251001
T003,T003-H-42-ec4823,sql-gen,sql-gen,42,haiku,full-history,H,2,Billing,222,113,70,0.000572,0.000113,0.0,0.0,0.0006850000000000001,False,False,0.3305830032331869,True,1.0,0,0,817.8263740046532,claude-haiku-4-5-20251001
T004,T004-H-42-6babc3,extract,extract,42,haiku,warm-shared,H,1,Billing,68,0,115,0.0006430000000000001,0.0,0.0,0.0,0.0006430000000000001,False,True,0.08750000415602699,True,0.6666666666666666,0,0,1681.5667910050252,claude-haiku-4-5-20251001
T004,T004-H-42-6babc3,sql-gen,sql-gen,42,haiku,full-history,H,2,Billing,215,124,57,0.0005,0.000124,0.0,0.0,0.000624,False,False,0.31758400291437283,True,0.6666666666666666,0,0,1006.9703339977423,claude-haiku-4-5-20251001
T005,T005-H-42-f9414f,extract,extract,42,haiku,warm-shared,H,1,Billing,69,0,104,0.0005890000000000001,0.0,0.0,0.0,0.0005890000000000001,False,True,0.046707995352335274,True,1.0,0,0,1399.7000829913304,claude-haiku-4-5-20251001
T005,T005-H-42-f9414f,sql-gen,sql-gen,42,haiku,full-history,H,2,Billing,233,113,133,0.000898,0.000113,0.0,0.0,0.001011,False,False,0.30179099849192426,True,0.6666666666666666,0,0,1094.2392080032732,claude-haiku-4-5-20251001
T006,T006-H-42-8fef12,extract,extract,42,haiku,warm-shared,H,1,Billing,67,0,93,0.000532,0.0,0.0,0.0,0.000532,False,True,0.048916997911874205,True,1.0,0,0,1619.3316249991767,claude-haiku-4-5-20251001
T006,T006-H-42-8fef12,sql-gen,sql-gen,42,haiku,full-history,H,2,Billing,228,102,66,0.000558,0.000102,0.0,0.0,0.00066,False,False,0.549374999536667,False,1.0,0,0,747.0249160032836,claude-haiku-4-5-20251001
T007,T007-H-42-3704d9,extract,extract,42,haiku,warm-shared,H,1,Billing,70,0,92,0.00053,0.0,0.0,0.0,0.00053,False,True,0.12299999798415229,True,1.0,0,0,1326.7665409948677,claude-haiku-4-5-20251001
T007,T007-H-42-3704d9,sql-gen,sql-gen,42,haiku,full-history,H,2,Billing,230,101,87,0.000665,0.000101,0.0,0.0,0.000766,False,False,0.4627919988706708,True,0.6666666666666666,0,0,1264.1912509934627,claude-haiku-4-5-20251001
T008,T008-H-42-054471,extract,extract,42,haiku,warm-shared,H,1,Billing,64,0,170,0.0009140000000000001,0.0,0.0,0.0,0.0009140000000000001,False,True,0.09729100565891713,True,0.6666666666666666,0,0,2213.4366660029627,claude-haiku-4-5-20251001
