task_id,workflow_id,node_id,node_class,seed,tier,memory_strategy,condition,workflow_depth,workflow_category,base_input_tokens,memory_tokens_injected,output_tokens,cost_inference,cost_injection,cost_miss_penalty,cost_accum,cost_total,warm_hit,fallback_used,retrieval_latency_ms,answer_correct,required_topics_recall,cache_read_tokens,cache_creation_tokens,end_to_end_ms,model_id
T001,T001-B-42-8bbf17,extract,extract,42,haiku,warm-isolated,B,1,Billing,67,0,106,0.0005970000000000001,0.0,0.0,0.0,0.0005970000000000001,False,True,0.06637500337092206,True,1.0,0,0,1520.2542080078274,claude-haiku-4-5-20251001
T001,T001-B-42-8bbf17,sql-gen,sql-gen,42,haiku,warm-isolated,B,2,Billing,233,115,133,0.000898,0.00011499999999999999,0.0,0.0,0.001013,True,False,1.7593749944353476,True,1.0,0,0,1047.655082998972,claude-haiku-4-5-20251001
T002,T002-B-42-73d10b,extract,extract,42,haiku,warm-isolated,B,1,Billing,67,0,117,0.000652,0.0,0.0,0.0,0.000652,False,True,0.10437500168336555,True,1.0,0,0,1607.3267909960123,claude-haiku-4-5-20251001
T002,T002-B-42-73d10b,sql-gen,sql-gen,42,haiku,warm-isolated,B,2,Billing,223,126,119,0.000818,0.000126,0.0,0.0,0.0009440000000000001,True,False,1.8549160013208166,False,1.0,0,0,1120.3113330047927,claude-haiku-4-5-20251001
T003,T003-B-42-465e85,extract,extract,42,haiku,warm-isolated,B,1,Billing,67,0,108,0.000607,0.0,0.0,0.0,0.000607,False,True,0.054333999287337065,True,0.6666666666666666,0,0,1538.004000998626,claude-haiku-4-5-20251001
T003,T003-B-42-465e85,sql-gen,sql-gen,42,haiku,warm-isolated,B,2,Billing,225,117,73,0.00059,0.000117,0.0,0.0,0.0007070000000000001,True,False,0.9835420059971511,True,1.0,0,0,814.0284170003724,claude-haiku-4-5-20251001
T004,T004-B-42-96489d,extract,extract,42,haiku,warm-isolated,B,1,Billing,68,0,116,0.000648,0.0,0.0,0.0,0.000648,False,True,0.053165997087489814,True,0.6666666666666666,0,0,1496.2908739980776,claude-haiku-4-5-20251001
T004,T004-B-42-96489d,sql-gen,sql-gen,42,haiku,warm-isolated,B,2,Billing,219,125,57,0.000504,0.000125,0.0,0.0,0.000629,True,False,0.7965419936226681,True,0.6666666666666666,0,0,734.675874999084,claude-haiku-4-5-20251001
T005,T005-B-42-059aef,extract,extract,42,haiku,warm-isolated,B,1,Billing,69,0,106,0.0005990000000000001,0.0,0.0,0.0,0.0005990000000000001,False,True,0.03737500082934275,True,1.0,0,0,1501.6247920066235,claude-haiku-4-5-20251001
T005,T005-B-42-059aef,sql-gen,sql-gen,42,haiku,warm-isolated,B,2,Billing,233,115,142,0.000943,0.00011499999999999999,0.0,0.0,0.0010580000000000001,True,False,0.7552919996669516,True,0.6666666666666666,0,0,1137.2108340001432,claude-haiku-4-5-20251001
T006,T006-B-42-740361,extract,extract,42,haiku,warm-isolated,B,1,Billing,67,0,99,0.000562,0.0,0.0,0.0,0.000562,False,True,0.04529099533101544,True,1.0,0,0,1645.713457997772,claude-haiku-4-5-20251001
T006,T006-B-42-740361,sql-gen,sql-gen,42,haiku,warm-isolated,B,2,Billing,227,108,84,0.000647,0.000108,0.0,0.0,0.000755,True,False,1.7901250030263327,False,1.0,0,0,1491.1212920051184,claude-haiku-4-5-20251001
T007,T007-B-42-6a27e0,extract,extract,42,haiku,warm-isolated,B,1,Billing,70,0,89,0.000515,0.0,0.0,0.0,0.000515,False,True,0.09320899698650464,True,1.0,0,0,1680.4513759925612,claude-haiku-4-5-20251001
